objectid,gmrap_id,coded_id,tract_name,name,name_other,name_group,includes,sitestatus,country,state_prov,latitude,longitude,dep_type,dep_subtype,age_ma,age_method,age_range,age_ref,comm_major,comm_minor,comm_trace,tonnage_mt,cu_pct,mo_pct,au_g_t,ag_g_t,con_cu_t,au_mo,comments,minerals,assd_rock,dev_status,ref_list,setting,study_area,short_ref,strat_age
33,617,005pCu1009,"Peru Eocene–Oligocene Antapaccay","Las Bambas","Bambas, Chacras, Chalcobamba, Ferrobamba, Sulfobamba",,,deposit,Peru,Apurímac,-14.026666667,-72.333333333,"Porphyry copper",Cu-Mo,35.6,"K-Ar biotite","35.6 ±0.9 Ma","Perelló, Carlotto and others (2003)","Cu, Au, Mo, Ag",,,1710,0.613,0.016,0.044,3.037,10500000,2.8,"Total reserves and resources as of 12/31/2013; Preproduction for open pit and underground mine. Andahuaylas-Yauri belt, Las Bambas district. Porphyry and skarn. High-grade copper in skarn.","biotite, bornite, chalcocite, chalcopyrite, clay, chlorite, cubanite, magnetite, malachite, pyrite, sericite","dacite porphyry, quartz monzonite porphyry, andesite, dacite, granodiorite, limestone, shale, skarn",Occurrence,"Noble and others (1984); Perelló, Carlotto and others (2003); Sillitoe (1989a); Xstrata Copper (2006); Xstrata Copper (2007); Singer and others (2008); GlencoreXstrata (2013)","continental margin",Andes,"Cunningham and others (2008)",Eocene
34,269,005pCu1008,"Chile-Peru Paleocene–Eocene Toquepala",Chapi,,,,prospect,Peru,Moquegua,-16.773611111,-71.357777778,"Porphyry copper",NA,-9999,"Geologic inference","Paleocene–Eocene or younger","geologic inference",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Manto ore body contains 2 Mt at 3% Cu.","atacamite, azurite/malachite, chalcanthite, chalcocite, chrysocolla, clay minerals, cuprite, digenite, epidote, gold, hematite, limonite, pyrite, rhodonite, sericite, tenorite","andesite porphyry, quartz porphyry, andesite, quartzite, limestone, sandstone, tuff","Past Producer","Randall (1960); Zappettini and others (2001); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)","Paleocene–Eocene or younger"
35,225,005pCu1005,"Colombia-Ecuador Miocene Chaucha","Chaso Juan",,,,prospect,Ecuador,Bolívar,-1.383333333,-79.116666667,"Porphyry copper",NA,20,unknown,"21–19 Ma","Singer and others (2008)","Cu, Au, Ag",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"1.46 to 9.0% Cu, 0.1 to 1.5 g/t Au, 7.6 to 161 g/t Ag.","biotite, chalcopyrite, chlorite, epidote, magnetite, molybdenite, pyrite","pillow andesitic basalt, basalt, diorite, granodiorite porphyry, limestone, quartz diorite",Occurrence,"PRODEMINCA (2000a); PRODEMINCA (2000b); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Miocene
36,228,005pCu1005,"Colombia-Ecuador Miocene Chaucha",Chaucha,,,,deposit,Ecuador,Azuay,-2.933333333,-79.416666667,"Porphyry copper",Cu-Mo,11,K-Ar,"12–10 Ma","Chiaradia and others (2004)","Cu, Mo",,,363,0.4,0.03,-9999,-9999,1500000,-9999,Exposed.,"alunite, azurite/malachite, barite, biotite, bornite, chalcanthite, chalcocite/digenite, chalcopyrite, chlorite, clay minerals, copper, covellite, cuprite, epidote, goethite/limonite, gypsum, hematite/specularite, kaolinite, magnetite, molybdenite, ferrimolybdite, pyrite, sericite, tenorite, tourmaline, zeolite","breccia, dacite porphyry, amphibolite, andesite, conglomerate, dacite, diorite, diorite porphyry, granodiorite porphyry, quartz diorite, quartzite, schist, tonalite",Unknown,"Ascendant Copper Corp. (2007a); Carten and others (1993); Chiaradia and others (2004); Gemuts and others (1992); Goossens and Hollister (1973); Hollister (1978); PRODEMINCA (2000b); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Miocene
37,262,005pCu1007,"Peru-Ecuador Cretaceous Almacen","Chavez N2","Chavez N-2",,,prospect,Peru,Ica,-14.233333333,-75.416666667,"Porphyry copper",NA,-9999,"Geologic inference","Cretaceous or younger","geologic inference",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Copper production in 1970 and 1987.","biotite, bornite, calcite, chalcocite, chalcopyrite, chrysocolla, covellite, cuprite, enargite, galena, hematite/specularite, kaolinite, limonite, malachite, molybdenite, pyrite, sericite, sphalerite, tenorite","quartz monzonite porphyry, quartz latite porphyry, andesite, basalt, limestone",Unknown,"Simons (1964?); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)","Cretaceous or younger"
38,296,005pCu1010,"Chile Eocene–Oligocene Chuquicamata",Chimborazo,,,,deposit,Chile,Antofagasta,-24.133333333,-69.083333333,"Porphyry copper",NA,37,unknown,"38.72 ±0.17 to 34.9 ±0.41 Ma","Singer and others (2008)",Cu,,,236,0.6,-9999,-9999,-9999,1400000,-9999,"30% of the deposit area is covered by gravel.","alunite, anhydrite, biotite, bornite, brochantite, atacamite, chalcocite, chalcopyrite, chlorite, clay minerals, covellite, enargite, pyrite, sericite, tennantite","breccia, diorite porphyry, monzonite porphyry, tonalite porphyry, andesite, dacite, diorite, granodiorite, tuff",Prospect,"Kelley and others (2003); Long (1995); Petersen and others (1994); Petersen and others (1996); Richards (1999); Richards and others (2001); Sillitoe and Perelló (2005); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Eocene
39,286,005pCu1010,"Chile Eocene–Oligocene Chuquicamata",Chuquicamata,,,"Chuqui Norte, Exotica, Radomiro Tomic (Pampa Norte)",deposit,Chile,Antofagasta,-22.275,-68.9,"Porphyry copper",Cu-Mo,33,unknown,"35–31 Ma","Singer and others (2008)","Cu, Mo, Au, Ag",Pd,,21277,0.592,0.04,0.013,5,126000000,0.3,"Cu enrichment age 1915 Ma; exotic mineralization later than 9.7 Ma (ash tuff layer in ore-bearing gravel). In concentrate: 36 ppb Pd; Pt n.d. Exposed.","alunite, anhydrite/gypsum, antlerite, atacamite, biotite, bornite, brochantite, chalcocite/digenite, chalcopyrite, chlorite, chrysocolla, conichalcite, covellite, djurleite, enargite/luzonite/famatinite, epidote, galena, goethite/limonite, hematite/specularite, jarosite, kaolinite, libethenite, molybdenite, montmorillonite, pyrite, pyrophyllite, sampleite, sericite, sphalerite, tetrahedrite, wolframite","granodiorite porphyry, monzogranite porphyry,amphibolite, andesite, andesite breccia, andesite tuff, conglomerate, limestone,diorite, granodiorite, monzogranite, sandstone, shale",Producer,"Briggs (2006); Codelco (2006); Cuadra and Camus (1998); Cuadra and Rojas (2001); Cunningham and others (2008); Faunes and others (2005); Fuller (1989); Lindsay and others (1996); Mortimer and others (1977); Münchmeyer (1996); Sillitoe and McKee (1996); Sillitoe and Perelló (2005); Tarkian and Stribrny (1999); Zentilli and others (1994); Zentilli and others (1997); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Eocene–Oligocene
40,281,005pCu1010,"Chile Eocene–Oligocene Chuquicamata",Collahuasi,Rosario,,,deposit,Chile,Antofagasta,-20.963055556,-68.708333333,"Porphyry copper",Cu-Mo,32.9,Ar-Ar,"32.9 ±0.6 Ma","Clark and others (1998)","Cu, Mo, Au, Ag",,,3100,0.86,0.04,0.01,5,27000000,0.2,Exposed.,"albite, alunite, biotite, bornite, brochantite, chalcocite, chalcopyrite, chlorite, chrysocolla, colusite [Cu3(As,Sn,V,Fe)S4], copper, covellite, cuprite, Cu-wad, dickite, digenite, enargite, galena, hematite, kaolinite/illite, magnetite, mawsonite [Cu3Fe2SnS8], molybdenite, muscovite/sericite, pyrite, pyrophyllite, rutile, stannite, tennantite","dacite porphyry, granodiorite porphyry, quartz porphyry, andesite, andesitic tuffite, carbonate rock, rhyolite, shale, tuff",Producer,"Bisso and others (1998); Briggs (2006); Clark and others (1998); De Beer and Dick (1994); Dick and others (1994); Masterman and others (2004); Masterman, Cooke, Berry and others (2005); Mine of the Month (2006); Moore and Masterman (2002); Münchmeyer (1996); Zappettini and others (2001); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Oligocene
41,280,005pCu1010,"Chile Eocene–Oligocene Chuquicamata",Copaquire,,,,prospect,Chile,Tarapacá,-20.901666667,-68.885277778,"Porphyry copper",NA,35,unknown,"36–34 Ma","Singer and others (2008)","Cu, Mo",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Total inferred resources November 30, 2011 of 102.1 Mt at 0.32% Cu, 0.020% Mo; contained copper 327,000 t. Resources previously reported 50 Mt at 0.13% Mo, x% Cu; production of 115,000 t at 3.0% Cu; reserves 250,000 t at 1% Cu.","alunite, atacamite, biotite, chalcanthite, chalcocite, chalcopyrite, chlorite, chrysocolla, epidote, ferrimolybdite, garnet, gypsum, magnetite, molybdenite, montmorillonite, pyrite, pyrophyllite, sericite, tennantite, tourmaline","breccia, dacite, quartz monzonite porphyry, carbonaceous shale, diorite porphyry, granodiorite, quartz diorite porphyry, sandstone",Prospect,"Clark and others (1998); Hollister and Bernstein (1975); Maksaev and others (1988); Oyarzun (1985); Zappettini and others (2001); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Eocene–Oligocene
42,620,005pCu1009,"Peru Eocene–Oligocene Antapaccay",Coroccohuayco,,,,deposit,Peru,Cuzco,-14.952222222,-71.2625,"Porphyry copper",Cu-Au,31,unknown,"31 Ma","Singer and others (2008)","Cu, Au",,,155,1.57,-9999,0.33,-9999,2430000,-9999,"Andahuaylas-Yauri belt.","anhydrite, bornite, chalcocite, chalcopyrite, covellite, digenite, hematite, magnetite, marcasite, molybdenite, pyrite, sericite, tennantite","hornfels, quartz monzonite porphyry, skarn, diorite, gabbro, granodiorite, limestone, quartzite, shale",Prospect,"Aizawa and Tomizawa (1986); Cabello (2002); Maher and Larsen (2007); Perelló, Carlotto and others (2003); Petersen and Vidal (1996); Sillitoe (1989a); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Oligocene
43,614,005pCu1009,"Peru Eocene–Oligocene Antapaccay","Cotabambas project",Ccala,,"Azulccacca, Ccalla, Huaclle",deposit,Peru,Apurímac,-14.181111111,-72.348055556,"Porphyry copper",Cu-Au,35.7,"K-Ar biotite","35.7 ±0.9 Ma","Perelló, Carlotto and others (2003)","Cu, Au",,,404.1,0.42,-9999,0.23,2.84,1700000,-9999,"Andahuaylas-Yauri belt. Exposed. Resources are updated from Wright and Colquhoun (2012). Singer and others (2008) reported resource as of July, 2007, at 0.3% Cu cut-off grade, continuing <100 ppm Mo. Alunite K-Ar age of 3.3±0.2 Ma.","alunite, anhydrite/gypsum, apatite, biotite, bornite, chalcocite, chalcopyrite, chlorite, Cu oxide, epidote, galena, gold, hematite, illite/smectite, limonite, magnetite, molybdenite, pyrite, rutile, sericite, sphalerite, sphene","andesite dike, breccia, dacite dike, diorite, granodiorite, quartz monzodiorite porphyry, diorite, granodiorite, skarn",Prospect,"Panoro Minerals Ltd. (2007); Perelló, Neyra and others (2004); Perelló, Carlotto and others (2003); Singer and others (2008); Wright and Colquhoun (2012)","continental margin",Andes,"Cunningham and others (2008)",Eocene
44,270,005pCu1008,"Chile-Peru Paleocene–Eocene Toquepala",Cuajone,,,,deposit,Peru,Moquegua,-17.045555556,-70.707222222,"Porphyry copper",NA,51,unknown,"51 Ma","Singer and others (2008)","Cu, Mo, Ag",,,1630,0.69,0.0214,-9999,3.1,11000000,-9999,"50% of the deposit area is covered by alluvium and talus.","arsenopyrite, azurite/malachite, barite, boulangerite, bournonite, bornite, brochantite, carbonate, chalcocite, chalcopyrite, chrysocolla, covellite, enargite, galena, gold, jamesonite, malachite, marcasite, molybdenite, pyrargyrite, pyrite, pyrrhotite, realgar, rhodochrosite, sericite, sphalerite, silver, stibnite, stromeyerite, tenorite, tetrahedrite","breccia, latite porphyry, quartz monzonite porphyry, basalt, granodiorite, limestone, shale, siltstone, sandstone,agglomerate, andesite, andesitic basalt, conglomerate, diorite, ignimbrite, rhyolite porphyry, trachyte, tuff",Producer,"Anonymous (1993c); Asarco Inc. (1996); Clark (1993); Concha and Valle (2000); Hollister (1978); Lacy (1991); Long (1995); Petersen and Vidal (1996); Sillitoe (1988); Zappettini and others (2001); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Eocene
45,234,005pCu1003,"Colombia-Ecuador-Peru Jurassic San Carlos",Cumay,"Nambija Norte",,,prospect,Ecuador,Zamora-Chinchipe,-4.016666667,-78.883333333,"Porphyry copper",NA,141,unknown,"141 ±5 Ma","Singer and others (2008)",,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,"actinolite, albite, biotite, bornite, carbonate, chalcocite, chalcopyrite, chlorite, clay minerals, covellite, epidote, galena, garnet, hematite, magnetite, malachite, molybdenite, prehnite, pyrite, pyrrhotite, rutile, sericite, sphalerite, tetrahedrite/tennantite","andesite dike, aplite, diorite, gabbro diorite, quartz monzonite porphyry, skarn, alaskite, andesite, andesitic dacite, dacite, dacite porphyry, diorite, granodiorite, latite, limestone, marble, quartz monzonite, quartzite, trachyte",Unknown,"Markowski and others (2006); PRODEMINCA (2000a); PRODEMINCA (2000b); Quevedo and Lowell (2001); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)","Early Cretaceous"
46,221,005pCu1003,"Colombia-Ecuador-Peru Jurassic San Carlos",Dolores,,,,prospect,Colombia,Tolima,3.516666667,-75.033333333,"Porphyry copper",NA,166,K-Ar,"166 ±4 Ma","Sillitoe and others (1982)",,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,"albite, calcite, chalcopyrite, chlorite, epidote, magnetite, pyrite","monzonite porphyry, felsic volcanic rocks, sandstone, monzodiorite, monzonite",Unknown,"Lobo-Guerrero (2003); Sillitoe (1988); Sillitoe and others (1982); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)","Middle Jurassic"
47,274,005pCu1008,"Chile-Peru Paleocene–Eocene Toquepala","Dos Hermanos",,,,prospect,Chile,Tarapacá,-18.29,-69.721666667,"Porphyry copper",NA,-9999,"Geologic inference",Miocene(?),"Singer and others (2008)","Cu, Mo",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Resources: 500,000 t at 0.98% Cu and 120 ppm Mo.","chalcopyrite, magnetite, molybdenite, pyrite","granodiorite, andesite, basalt, volcanic-sedimentary rocks","Past Producer","Zappettini and others (2001); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Miocene(?)
48,284,005pCu1010,"Chile Eocene–Oligocene Chuquicamata","El Abra",,,Ichuno,deposit,Chile,Antofagasta,-21.920555556,-68.8325,"Porphyry copper",NA,36,unknown,"38–34 Ma","Singer and others (2008)","Cu, Mo",,,1779.4,0.494,0.0058,-9999,-9999,8790000,-9999,Exposed.,"anhydrite/gypsum, antlerite, apatite, biotite, bornite, brochantite, chalcocite/digenite, chalcopyrite, chlorite, chrysocolla, copper, cuprite/tenorite, enargite, epidote, galena, hematite/specularite, ilmenite, kaolinite, magnetite, molybdenite,montmorillonite, pyrite, pyrophyllite, rutile, sericite, sphalerite, tennantite/tetrahedrite, tourmaline, turquoise, zeolite","aplite, breccia, dacite porphyry, granodiorite porphyry, quartz monzonite porphyry, rhyodacite porphyry, andesite, ignimbrite, rhyolite, sedimentary rocks, diorite, granodiorite, quartz diorite, quartz monzonite",Producer,"Ambrus (1977); Anonymous (1996a); Briggs (2006); Codelco (2006); Cunningham and others (2008); Dean and others (1996); Dilles and others (1997); Little (1994a); Münchmeyer (1996); Sillitoe (1991); Sillitoe and McKee (1996); Zappettini and others (2001); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Eocene
49,246,005pCu1006,"Peru-Ecuador middle–late Miocene La Granja","El Galeno",Galeno,,,deposit,Peru,Cajamarca,-7.016666667,-78.316666667,"Porphyry copper",NA,17,unknown,"17.50–16.53 Ma (Age of porphyry stocks.)","Davies and Williams (2005)","Cu, Mo, Au, Ag",,,863,0.474,0.01,0.11,2.3,4090000,10,"Resource as of September 26, 2006, at 0.4% Cu eq. cut-off grade. Exposed.","alunite, arsenopyrite, biotite, bornite, brochantite, chalcocite, chalcopyrite, chlorite, chrysocolla, copper, covellite, digenite, epidote, fluorite, gold, hematite, illite, kaolinite, magnetite, mackinawite, malachite, molybdenite, muscovite, pyrite, pyrrhotite, tennantite/tetrahedrite","breccia, diorite porphyry, quartz diorite porphyry,andesite, basalt, dacite,limestone, marl, quartzite, rhyolite, sandstone, siltstone",Prospect,"Davies (2000); Davies and Williams (2005); Lumina Copper Corp. (2004a); Nicolson (2003); Northern Peru Copper Corp. (2007b); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Miocene
50,236,005pCu1003,"Colombia-Ecuador-Peru Jurassic San Carlos","El Hito","Hito, Pachicutza, Santa Barbara",,,prospect,Ecuador,Zamora-Chinchipe,-4.25,-78.95,"Porphyry copper",NA,-9999,"Geologic inference",Jurassic,"Singer and others (2008)",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Chip samples reported ?1.8% Cu, commonly 0.1 to 0.5% Cu.","biotite, chalcopyrite, chlorite, covellite, epidote, illite, malachite, molybdenite, pyrite, sericite, sphalerite","rhyodacite porphyry, granite porphyry, quartz diorite, granodiorite, sedimentary rocks",Occurrence,"Gendall and others (2000); PRODEMINCA (2000a); PRODEMINCA (2000b); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Jurassic
51,628,005pCu1018,"Chile Permian El Loa","El Loa",,,,prospect,Chile,Tarapacá,-21.116666667,-68.733333333,"Porphyry copper",NA,252,unknown,"264–239 Ma","Singer and others (2008)",,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,"granodiorite, volcanic rocks",Prospect,"Camus (2002); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)","Middle Permian–Middle Triassic"
52,314,005pCu1013a,"Argentina-Chile Miocene–Pliocene Cerro Casale","El Oculto",,,,prospect,Argentina,Jujuy,-24.133333333,-66.6,"Porphyry copper",NA,-9999,"Geologic inference","Miocene–Pliocene or younger","geologic inference","Cu, Mo",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"600 ppm Cu, 0.1 g/t Au, 85 ppm Mo.","bornite, chalcopyrite, limonite, molybdenite, pyrite, turquoise","breccia, dacite porphyry, conglomerate, sandstone",Prospect,"Godeas and others (1999); Zappettini and others (2001); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)","Miocene–Pliocene or younger"
53,329,005pCu1016ab,"Argentina Permian San Jorge","El Salado",,,,prospect,Argentina,"San Juan",-30.933333333,-69.633333333,"Porphyry copper",NA,-9999,"Geologic inference","Permian or younger","geologic inference","Cu, Au",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Classic zoned porphyry copper deposit: 0.30.8% Cu, 0.10.2 g/t Au.","chalcopyrite, chlorite, epidote, pyrite, sericite","rhyodacite, rhyolite porphyry, agglomerate, conglomerate, granodiorite, limestone, tonalite",Prospect,"Cardo (1999); Climax Mining Ltd. (2007); Little (1995b); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)","Permian or younger"
54,258,005pCu1007,"Peru-Ecuador Cretaceous Almacen",Eliana,"Quebrada Rio Seco district",,,prospect,Peru,Ica,-13.766666667,-75.716666667,"Porphyry copper",NA,-9999,"Geologic inference","Cretaceous or younger","geologic inference",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"<0.2% Cu in disseminated ore and ?8% Cu in veins.","actinolite, albite, apatite, azurite/malachite, bornite, calcite, chalcocite, chalcopyrite, gypsum, hematite, hornblende, magnetite, molybdenite, pyrite, pyrrhotite, rutile, scapolite, sericite, sphalerite","breccia, gabbro-diorite, skarn, agglomerate, andesite, monzogranite, tuff, calcareous sedimentary rocks",Unknown,"Agar (1981); Atkin and others (1985); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)","Cretaceous or younger"
